City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Alofi,NU,78.84,clear sky,-19.0595,-169.9187,Taloa Heights
509,Jiamusi,CN,76.32,clear sky,46.8333,130.35,Riversky Hotel
516,Tura,IN,76.32,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
519,Kupang,ID,81.19,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
521,Singaraja,ID,80.33,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
525,Meulaboh,ID,76.93,overcast clouds,4.1363,96.1285,Kost Pria
527,Porto Novo,BJ,75.97,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
533,La Asuncion,VE,77.47,broken clouds,11.0333,-63.8628,Colinas de Matasiete
536,Kohat,PK,82.47,clear sky,33.582,71.4493,Millennium Guest House & Restaurant
539,Ninghai,CN,83.43,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
540,Warren,US,77.56,overcast clouds,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
541,Salinopolis,BR,77.61,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
542,Paragominas,BR,75.25,overcast clouds,-2.9667,-47.4833,INOVA
543,Oshawa,CA,75.2,few clouds,43.9001,-78.8496,Comfort Inn
544,Atambua,ID,78.6,broken clouds,-9.1061,124.8925,Kost Alfa Flat
550,Hue,VN,84.31,few clouds,16.4667,107.6,Saigon Morin Hotel
551,Lianzhou,CN,82.58,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
553,Seymour,US,77.72,broken clouds,38.9592,-85.8903,Fairfield Inn & Suites by Marriott Seymour
561,Sorong,ID,81.01,light rain,-0.8833,131.25,Waigo Splash Hotel
564,Altamira,BR,76.03,overcast clouds,-3.2033,-52.2064,Requinte Hotel
570,Buala,SB,81.57,light rain,-8.145,159.5921,Maringe Lagoon Lodge
574,Kutum,SD,79.66,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
579,Ewa Beach,US,85.37,scattered clouds,21.3156,-158.0072,Base Lodging
580,Shache,CN,84.04,overcast clouds,38.4167,77.2406,Delong Hotel
588,Teluk Intan,MY,77.36,broken clouds,4.0259,101.0213,Angsoka Hotel Teluk Intan
591,Chhaprauli,IN,88.32,broken clouds,29.2167,77.1833,MK Homes
599,Shancheng,CN,77.34,moderate rain,34.7953,116.0817,Shanxian Golden Dragon Hotel
600,Axim,GH,75.15,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
601,Sibolga,ID,78.3,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
605,Garowe,SO,77.45,overcast clouds,8.4054,48.4845,Curubo Hotel
607,Inuvik,CA,79.03,overcast clouds,68.3499,-133.7218,Nova Inn Inuvik
608,Kokopo,PG,85.23,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
609,Hit,IQ,82.72,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
613,Aloleng,PH,83.44,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
618,Saint-Georges,GD,76.15,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
619,Badiraguato,MX,80.87,overcast clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
620,Waddan,LY,87.46,clear sky,29.1614,16.139,محل الشريف محمد العايب
621,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
623,Dapaong,TG,80.69,overcast clouds,10.8639,0.205,Hotel Caroli
631,Hurghada,EG,82.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
637,Ushtobe,KZ,84.45,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
639,Fort Saint James,CA,80.89,few clouds,54.4333,-124.25,The View Hotel
642,Quzhou,CN,85.77,overcast clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
644,Bucerias,MX,83.98,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
646,Pascagoula,US,80.73,scattered clouds,30.3658,-88.5561,Regency Inn
649,Shimoda,JP,81.86,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
655,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
657,Jizan,SA,86.81,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
661,Leiyang,CN,84.97,overcast clouds,26.4024,112.8591,Dongyang Hotel
662,Takoradi,GH,75.18,broken clouds,4.8845,-1.7554,Raybow International Hotel
664,Misterbianco,IT,83.75,clear sky,37.5341,14.9538,Motta Residence Hotel
666,Biltine,TD,83.01,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
667,Payson,US,89.26,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
668,Yaval,IN,81.95,overcast clouds,21.1667,75.7,Swapnil Chaudhari Home
670,Bubaque,GW,81.25,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
672,Foundiougne,SN,81.63,overcast clouds,14.1333,-16.4667,Cap Marniane
674,Najran,SA,80.98,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
