City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Esperance,AU,-33.8667,121.9,58.48,55,2,20.27,clear sky
210,Marzuq,YE,14.4,46.4667,82.31,32,100,4.03,overcast clouds
211,Ballina,AU,-28.8667,153.5667,66.02,65,16,7.72,few clouds
212,Souillac,MU,-20.5167,57.5167,61.18,82,40,3.44,scattered clouds
213,Cherskiy,RU,68.75,161.3,52.25,25,0,16.02,clear sky
214,Ko Samui,TH,9.5357,99.9357,80.51,89,20,0.0,few clouds
215,Kaputa,ZM,-8.4689,29.6619,62.11,64,0,5.99,clear sky
216,Jalu,LY,29.0331,21.5482,85.78,22,0,11.12,clear sky
217,Kano,NG,12.0001,8.5167,73.29,94,0,6.91,clear sky
218,Anadyr,RU,64.75,177.4833,50.5,81,75,8.95,broken clouds
219,Ambilobe,MG,-13.2,49.05,63.39,79,55,4.07,broken clouds
220,Padang,ID,-0.9492,100.3543,77.05,73,11,2.3,few clouds
221,Cairns,AU,-16.9167,145.7667,78.75,65,75,21.85,broken clouds
222,Necochea,AR,-38.5473,-58.7368,41.7,70,10,13.18,clear sky
223,Pyra,RU,56.2953,43.3527,55.11,74,2,6.15,clear sky
224,Sosva,RU,59.1766,61.8558,45.73,84,100,8.19,overcast clouds
225,Muisne,EC,0.6,-80.0333,74.41,84,86,8.5,overcast clouds
226,Tazovskiy,RU,67.4667,78.7,48.78,50,100,13.71,overcast clouds
227,Pangnirtung,CA,66.1451,-65.7125,39.81,99,100,1.72,overcast clouds
228,Cooma,AU,-36.2333,149.1333,41.97,57,56,13.51,broken clouds
229,Purpe,RU,64.4803,76.6897,57.34,70,97,10.47,overcast clouds
230,Dingle,PH,10.9995,122.6711,79.34,86,100,2.42,overcast clouds
231,Lebu,CL,-37.6167,-73.65,51.28,92,81,6.96,broken clouds
232,Goya,AR,-29.14,-59.2626,53.29,80,100,5.5,moderate rain
233,Macia,MZ,-25.0269,33.0989,59.38,97,22,6.29,light rain
234,Migori,KE,-1.0634,34.4731,59.52,80,31,5.95,scattered clouds
235,Husavik,IS,66.0449,-17.3389,41.31,83,93,3.31,overcast clouds
236,Svetlaya,RU,46.5389,138.3297,58.96,85,39,9.08,scattered clouds
237,Grand Gaube,MU,-20.0064,57.6608,66.38,66,4,3.0,clear sky
238,Skjervoy,NO,70.0311,20.9714,66.2,75,89,14.05,overcast clouds
239,Kaitangata,NZ,-46.2817,169.8464,45.88,88,100,4.76,moderate rain
240,Byron Bay,AU,-28.65,153.6167,65.95,54,63,7.52,broken clouds
241,Kakrala,IN,27.9,79.2,91.08,51,14,11.54,few clouds
242,Nijar,ES,36.9665,-2.206,60.44,77,0,5.75,clear sky
243,Constitucion,CL,-35.3333,-72.4167,51.8,85,9,3.91,clear sky
244,Victor Harbor,AU,-35.5667,138.6167,52.0,82,5,2.55,clear sky
245,Henties Bay,NA,-22.116,14.2845,67.93,48,2,9.22,clear sky
246,Mareeba,AU,-17.0,145.4333,74.12,88,98,6.49,overcast clouds
247,Teya,RU,60.3778,92.6267,62.55,98,100,0.87,overcast clouds
248,Paamiut,GL,61.994,-49.6678,39.6,90,99,19.3,overcast clouds
249,Jardim,BR,-21.4803,-56.1381,64.76,78,14,4.61,few clouds
250,Lagoa,PT,39.05,-27.9833,64.33,81,100,10.69,overcast clouds
251,Novyy Urengoy,RU,66.0833,76.6333,53.73,44,100,12.66,overcast clouds
252,Tiksi,RU,71.6872,128.8694,34.7,73,15,9.98,few clouds
253,General Delgado,PY,-27.1667,-56.5167,58.17,89,100,4.47,overcast clouds
254,Thompson,CA,55.7435,-97.8558,71.76,35,75,5.75,broken clouds
255,Kholodnyy,RU,62.7167,147.95,80.13,37,8,8.48,clear sky
256,Abu Zabad,SD,12.35,29.25,84.13,44,16,9.66,few clouds
257,Salalah,OM,17.0151,54.0924,80.46,89,100,5.61,overcast clouds
258,Sept-Iles,CA,50.2001,-66.3821,63.12,77,75,10.36,broken clouds
259,Yeniseysk,RU,58.4497,92.1703,67.17,95,100,8.25,overcast clouds
260,Gasa,PS,31.5,34.4667,74.64,75,0,5.37,clear sky
261,Gandu,BR,-13.7439,-39.4867,63.46,99,30,2.46,scattered clouds
262,Mount Gambier,AU,-37.8333,140.7667,53.24,59,6,4.36,light rain
263,Porto Velho,BR,-8.7619,-63.9039,77.05,78,0,0.0,clear sky
264,Klaksvik,FO,62.2266,-6.589,52.72,95,61,22.1,broken clouds
265,Cuyamel,HN,15.6667,-88.2,84.22,89,21,6.67,few clouds
266,Urucara,BR,-2.5364,-57.76,75.94,81,97,0.67,overcast clouds
267,Lompoc,US,34.6391,-120.4579,90.01,82,0,18.41,clear sky
268,Tuktoyaktuk,CA,69.4541,-133.0374,69.8,46,75,14.97,broken clouds
269,Bengkulu,ID,-3.8004,102.2655,76.6,79,95,3.29,overcast clouds
270,Nanortalik,GL,60.1432,-45.2371,39.74,96,100,2.44,overcast clouds
